,City,Country,Max Temp,Lat,Lng,Hotel Name
115,Sorland,NO,281.07,67.667,12.6934,Sjybrygga fiskecamp
117,Nouadhibou,MR,297.14,20.931,-17.0347,El Medina
118,Leh,IN,281.81,34.1667,77.5833,Hotel Ladakh Greens
119,Razdolnoye,RU,279.38,43.55,131.9167,"Baza Otdykha ""Lesnaya"""
120,Oksfjord,NO,282.19,70.2396,22.3479,
121,Salalah,OM,299.2,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,Coquimbo,CL,290.0,-29.9533,-71.3436,Hotel San Juan
127,Rio Gallegos,AR,283.18,-51.6226,-69.2181,Hotel Santa Cruz
128,Kosice,SK,290.42,48.6667,21.3333,Hotel Bonaparte
129,Capaci,IT,297.4,38.1711,13.2393,Hotel Sirenetta
130,Souillac,MU,294.74,-20.5167,57.5167,Shanti Maurice Resort & Spa
132,Salzkotten,DE,286.91,51.6717,8.6009,Westfälischer Hof
133,Chimbote,PE,291.28,-9.0853,-78.5783,Hotel Briliá
134,Morondava,MG,298.82,-20.2833,44.2833,La Case Bambou
135,Abha,SA,295.29,18.2164,42.5053,Abha Hotel
136,Upernavik,GL,266.54,72.7868,-56.1549,Café de Upernavik
137,Hamilton,US,292.91,39.1834,-84.5333,Six Acres Bed & Breakfast
139,Krosno,PL,287.39,49.6887,21.7706,Miły Hotel
140,Beira,MZ,299.19,-19.8436,34.8389,Beira Terrace Hotel
141,Laguna,US,294.86,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
142,Balkhash,KZ,282.96,46.844,74.9804,Family
144,Herat,AF,291.5,34.5,62.0,
145,Salinas,US,285.88,36.6777,-121.6555,Laurel Inn & Conference Center
146,Saint-Augustin,CA,281.16,51.226,-58.6502,Riverview Inn
148,Cobourg,DE,290.38,50.2667,10.9667,Vienna House Easy Coburg
149,Iberia,US,296.15,29.9502,-91.7507,back to back rv park
150,Campina Grande Do Sul,BR,298.44,-25.3056,-49.0553,Chácara Dorigon
151,Thompson,CA,284.63,55.7435,-97.8558,Burntwood Hotel
152,Acari,PE,295.47,-15.4311,-74.6158,HOSPEDAJE XIMENA
155,Chardara,KZ,291.38,41.2547,67.9692,Жанаргул
156,Skelleftea,SE,282.04,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
158,Kinston,US,294.91,35.2627,-77.5816,Hampton Inn Kinston
159,Soloneshnoye,RU,279.02,51.6544,84.3197,Gostinitsa Al'tair
160,Scarborough,GB,286.92,54.2797,-0.4044,The Grand Hotel Scarborough
164,Codrington,AU,288.49,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
166,Wadi Musa,JO,293.7,30.3222,35.4793,Petra Palace Hotel
169,Roald,NO,283.01,62.5833,6.1333,Flem Cabins
172,Floro,NO,282.13,61.5996,5.0328,Kinn Hotell Florø
173,Santona,ES,294.22,43.4439,-3.4576,Playamar
174,Kant,IN,296.4,27.8,79.8,Sumit Verma
175,Saldanha,ZA,291.03,-33.0117,17.9442,Blue Bay Lodge
176,Shakiso,ET,290.46,5.75,38.9167,DH international Hotel
179,Aketi,CD,296.88,2.7388,23.7833,
180,Marienburg,PL,286.97,54.0359,19.0266,Hotel Centrum Malbork
183,San Bartolome De Tirajana,ES,293.41,27.9248,-15.5733,Las Tirajanas
185,Uyuni,BO,282.75,-20.4597,-66.825,Hostal La Magia de Uyuni
186,Melito Di Porto Salvo,IT,298.45,37.9222,15.7714,B&B Nereidi
187,Pisco,PE,292.18,-13.7,-76.2167,Hotel San Isidro Oficial
188,Kruisfontein,ZA,293.64,-34.0033,24.7314,Oyster Bay House Rental
189,Belmonte,BR,299.54,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
191,Mazara Del Vallo,IT,298.67,37.6641,12.588,Vizier Resort & Spa
194,Chipinge,ZW,299.37,-20.1883,32.6236,Chipinge Breeze Lodge
195,Adamovka,RU,284.81,51.5223,59.9396,Gostinitsa
196,Pandhana,IN,297.52,21.7,76.2167,ठा. करण सिंह चौहान
198,Salym,RU,278.84,60.0625,71.4789,Gostinitsa Salym
199,Irtyshskiy,RU,279.04,58.3333,68.1333,
200,Bandarbeyla,SO,298.68,9.4942,50.8122,JABIR HOTEL
201,Farafangana,MG,295.7,-22.8167,47.8333,Miarina
204,Qaanaaq,GL,258.38,77.484,-69.3632,Qaanaaq Hotel
205,Dvinskoy,RU,279.7,62.1535,45.1175,Gostinitsa Dvinskaya
206,Ramkola,IN,295.62,26.9042,83.8411,Pankaj Sahani Ramkola
207,Castro,BR,296.81,-24.7911,-50.0119,CHACARA BAILLY
208,Bell Ville,AR,295.19,-32.6259,-62.6887,Hotel Central
210,Maputo,MZ,298.97,-25.9653,32.5892,Pestana Rovuma
211,Sharkan,RU,281.41,57.2989,53.8712,Rodnichok
214,Ponta Delgada,PT,295.55,37.7333,-25.6667,Vila Nova Hotel
215,Den Helder,NL,289.25,52.9599,4.7593,Hotel Den Helder
216,Skopin,RU,281.75,53.8249,39.5505,Otel' Bazilik Skopin
217,Annapolis,US,294.23,38.9785,-76.4922,"Annapolis Waterfront Hotel, Autograph Collection"
218,Kedrovyy,RU,278.38,56.1667,91.8167,
219,Tabuk,PH,296.69,17.4189,121.4443,Golden Berries Hotel and Convention
222,Hammerfest,NO,282.4,70.6634,23.6821,Skytterhuset
226,Hofn,IS,281.2,64.2539,-15.2082,Hótel Höfn
227,Port Blair,IN,299.71,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
229,Thunder Bay,CA,285.85,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
230,Lasa,IT,290.02,46.6166,10.7002,Pension Feldgärtenhof
231,Inhambane,MZ,298.27,-23.865,35.3833,Oceano
233,Profondeville,BE,289.1,50.3761,4.8669,Bed & Breakfast La Source Fleurie
235,Necochea,AR,292.64,-38.5473,-58.7368,dyd -mar Hotel
236,Mahendragarh,IN,299.12,28.2833,76.15,Yadav Dharamshala
237,Larsnes,NO,282.84,62.2028,5.5773,Liset Feriesenter AS
238,Nantucket,US,292.21,41.2835,-70.0995,Jared Coffin House
240,Korla,CN,281.57,41.7597,86.1469,Gulisitan Hotel
242,Dingle,PH,298.12,10.9995,122.6711,SEGAYA PROPERTY
244,Rawson,AR,291.37,-43.3002,-65.1023,Hosteria Sampedro
245,Santa Barbara,US,287.5,34.7333,-120.0343,Upper Ballard Campground
246,Portland,US,285.36,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
247,Santiago Del Estero,AR,296.43,-27.7951,-64.2615,Apartamentos Castelli 90
249,Tabas,IR,299.41,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
250,Bahir Dar,ET,291.87,11.5936,37.3908,"Delano Hotel, Bahir Dar"
251,Sechura,PE,294.94,-5.5569,-80.8222,Hospedaje Costa Bella
252,San Juan,AR,296.3,-31.5375,-68.5364,Hotel Provincial
253,Lidkoping,SE,285.05,58.5052,13.1577,Hotell Läckö - GRAND HOTEL
258,Puerto Del Rosario,ES,296.01,28.5004,-13.8627,Hotel JM Puerto del Rosario
260,Aleksandrovskoye,RU,287.26,44.7142,43.0008,Mini hotel Tranzit
261,Najran,SA,299.35,17.4924,44.1277,محمد هادي ال فطيح
263,Praia Da Vitoria,PT,297.46,38.7333,-27.0667,Hotel Branco I
264,Prestice,CZ,287.18,49.573,13.3335,Come&Sleep Hostel
265,Bereda,ES,294.49,43.2686,-7.5406,Pazo de Verdes
266,Zhanaozen,KZ,293.35,43.3,52.8,K.korabay 28A
267,Kismayo,SO,298.58,-0.3582,42.5454,Agan-Hotel
271,Talnakh,RU,274.24,69.4865,88.3972,Talnakh Hotel
272,Virginia Beach,US,294.29,36.8529,-75.978,Hilton Virginia Beach Oceanfront
274,Saint-Pierre,RE,295.97,-21.3393,55.4781,Alize Plage
276,Concepcion,CL,284.04,-36.827,-73.0498,Hotel El Araucano
278,San Vicente De Canete,PE,292.8,-13.0751,-76.3835,Hotel Konford
279,Longyearbyen,SJ,274.06,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
